f_trait_id	f_trait_code	f_trait_name	f_sample_id	f_label	f_sample_name	f_kl_score
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_16	GSE149683_Placenta	Placenta_Fetal period	0.233658256629535
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_17	GSE149683_Stomach	Stomach_Fetal period	0.11413020434425189
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_18	GSE149683_Thymus	Thymus_Fetal period	0.10833303931495405
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_19	GSE166547	Kidney paracancerous tissue	0.07435605225492377
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_20	GSE174367_scATAC_Ref	Alzheimer's Disease (AD), Frontal Cortex_brain_1	0.14039828388039693
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_21	GSE181062	Early Stage ccRCC_PBMC	0.014183235480706836
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_22	GSE195460_Control_1	Control (Diabetic kidney disease)_1	0.006795977983441055
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_23	GSE195460_Control_3	Control (Diabetic kidney disease)_2	0.007522887854766925
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_24	GSE195460_Control_4	Control (Diabetic kidney disease)_3	0.011857230539893593
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_25	GSE195460_DN_2	Diabetic kidney disease_1	0.03817137909661952
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_26	GSE195460_DN_4	Diabetic kidney disease_2	0.041102955079076534
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_27	GSE195460_DN_5	Diabetic kidney disease_3	0.0538923165550395
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_28	GSE195460_DN_6	Diabetic kidney disease_4	2.8967752059525282
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_29	GSE195460_DN_7	Diabetic kidney disease_5	0.6409155333473524
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_30	GSE195460_diabetic_kidney	Diabetic kidney disease_6	0.11806813641580388
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_31	coronary_artery_disease	Coronary arteries disease_heart	0.10429873197998456
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_32	GSE147726	Pancreatic ductal adenocarcinoma,Pancreatic normal tissue	0.026162838176003927
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_33	GSM4443845	Pancreatic normal tissue	0.008951931350775322
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_34	GSM4443847	Pancreatic ductal adenocarcinoma	0.11076271350675432
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_35	GSE151302	Polycystic Kidney disease_Kidney	0.01699559129569123
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_36	GSM4572187	Kidney_1	0.024181076778070416
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_37	GSM4572188	Kidney_2	0.009142058302424537
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_38	GSM4572189	Kidney_3	0.01400477929499319
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_39	GSE156473	Peripheral blood mononuclear cells_PBMC_1	0.09233476798936126
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_40	GSM4732109	Peripheral blood mononuclear cells_PBMC_2	0.09744027819411669
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_41	GSM4732111	Peripheral blood mononuclear cells_PBMC_3	0.03725696059309865
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_42	GSM4766850	CD8 T-cells_PBMC	0.047623449735353186
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_43	GSE157483	CD16, CD4, CD8 (Phage)_PBMC_1	0.11790062984825644
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_44	GSM4766872	CD16, CD4, CD8_PBMC	0.032294396745619576
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_45	GSM4766873	CD16, CD4, CD8 (Phage)_PBMC_2	0.09708852394283769
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_46	GSM4766874	Peripherial Blood Mononucler Cells_PBMC_1	0.015802194090343242
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_47	GSM4766875	CD16, CD4, CD8 (Phage)_PBMC_3	0.01586040179018769
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_48	GSE157595	Ankylosing spondylitis (AS), Healthy controls_PBMC	0.22901458690650642
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_49	GSM4771370	Ankylosing spondylitis (AS)_PBMC	0.13671686280743472
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_50	GSM4771371	Healthy controls (peripheral blood)_PBMC	0.05658418996691128
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_51	GSE158280	Uremia, Healthy controls_PBMC	0.16403951464403715
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_52	GSM4796327	Healthy controls (Uremia)_PBMC	0.20367780996272566
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_53	GSE163579	Chronic lymphocytic leukemia (CLL)_PBMC_1	0.043193035510660074
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_54	GSM4982164	Chronic lymphocytic leukemia (CLL) active disease_PBMC_1	0.007137191249538892
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_55	GSM4982172	Chronic lymphocytic leukemia (CLL) active disease_PBMC_2	0.011072752418744357
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_56	GSM4982174	Chronic lymphocytic leukemia (CLL) active disease_PBMC_3	0.04439667003142238
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_57	GSM4982176	Chronic lymphocytic leukemia (CLL) active disease_PBMC_4	0.028835260340962753
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_58	GSM4982178	Chronic lymphocytic leukemia (CLL) active disease_PBMC_5	0.10630702907467013
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_59	GSM4982179	Chronic lymphocytic leukemia (CLL) active disease_PBMC_6	0.05380590378549395
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_60	GSM4982180	Chronic lymphocytic leukemia (CLL) active disease_PBMC_7	0.04710330965992575
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_61	GSM4982181	Chronic lymphocytic leukemia (CLL) active disease_PBMC_8	0.054032469127081595
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_62	GSM4982183	Chronic lymphocytic leukemia (CLL) active disease_PBMC_9	0.04720779964886791
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_63	GSM4982185	Chronic lymphocytic leukemia (CLL) active disease_PBMC_10	0.08020902478520109
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_64	GSM4982191	Chronic lymphocytic leukemia (CLL) Richter's transformation_Bone marrow	0.013107532883488265
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_65	GSM4982193	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_1	0.02097590448075641
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_66	GSM4982194	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_2	0.05708550890637667
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_67	GSM4982195	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_3	0.013504714106376787
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_68	GSM4982196	Chronic lymphocytic leukemia (CLL) Richter's transformation_Lymph node_4	0.014318927542524779
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_69	GSM5057721	Monocytes and dendritic cells_Blood_1	0.09236520618113467
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_70	GSM5057724	Monocytes and dendritic cells_Blood_2	0.1019775996390931
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_71	GSE165906	Monocytes and dendritic cells_Blood_3	0.016063288752859516
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_72	GSM5057811	Monocytes and dendritic cells_Blood_4	0.020136151973733106
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_73	GSM5057812	Monocytes and dendritic cells_Blood_5	0.006444856560811946
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_74	GSM5057816	Monocytes and dendritic cells_Blood_6	0.012776503945503927
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_75	GSM5057818	Monocytes and dendritic cells_Blood_7	0.024543984141291473
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_76	GSE172920	Peripherial Blood Mononucler Cells and HEK293T cell line, Phage__PBMC	0.03914093078053217
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_77	GSM5259069	Peripherial Blood Mononucler Cells and HEK293T cell line__PBMC	0.01926269829112342
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_78	GSE172923	Peripherial Blood Mononucler Cells, Phage__PBMC	0.02441738253907382
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_79	GSM5259075	Peripherial Blood Mononucler Cells_2_PBMC	0.02899073709556854
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_80	GSM5259077	Peripherial Blood Mononucler Cells_3_PBMC	0.014069558647532598
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_81	GSM5259079	Peripherial Blood Mononucler Cells_4_PBMC	0.04680229584272115
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_82	GSE173811	Chronic lymphocytic leukemia (CLL)_2_PBMC	0.04922183126423833
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_83	GSE174367	Alzheimer's Disease (AD), Frontal Cortex_brain_2	0.12839770662763045
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_84	GSM5292858	Alzheimer's Disease (AD), Frontal Cortex_brain_3	0.1499627595852985
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_85	GSM5292863	Alzheimer's Disease (AD), Frontal Cortex_brain_4	0.46261255019952974
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_86	GSM5292866	Alzheimer's Disease (AD), Frontal Cortex_brain_5	0.4980671232472297
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_87	GSM5292875	Alzheimer's Disease (AD), Frontal Cortex_brain_6	0.22707206821278475
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_88	GSE175621	Coronary artery disease (CAD)_heart_1	0.277841565540915
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_89	GSM5342788	Coronary artery disease (CAD)_heart_2	0.026917587403523957
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_90	GSM5342789	Coronary artery disease (CAD)_heart_3	-3.835244577772921e-17
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_91	GSM5342791	Coronary artery disease (CAD)_heart_4	0.026216197762720696
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_92	GSM5342794	Coronary artery disease (CAD)_heart_5	0.03509177817839214
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_93	GSM5342795	Coronary artery disease (CAD)_heart_6	0.06806622068995904
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_94	GSM5342799	Coronary artery disease (CAD)_heart_7	1.0238776030262298e-16
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_95	GSM5342800	Coronary artery disease (CAD)_heart_8	1.9847672740774697e-05
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_96	GSM5342801	Coronary artery disease (CAD)_heart_9	0.03018713846130764
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_97	GSM5342803	Coronary artery disease (CAD)_heart_10	0.01559828394010948
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_98	GSM5342804	Coronary artery disease (CAD)_heart_11	0.0056000283370184764
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_99	GSM5342805	Coronary artery disease (CAD)_heart_12	0.011094885115631432
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_100	GSM5342806	Coronary artery disease (CAD)_heart_13	0.03756837483737596
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_101	GSM5342807	Coronary artery disease (CAD)_heart_14	0.08663588022210167
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_102	GSM5342809	Coronary artery disease (CAD)_heart_15	0.005429701568662753
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_103	GSM5342811	Coronary artery disease (CAD)_heart_16	0.009660465698945422
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_104	GSM5342812	Coronary artery disease (CAD)_heart_17	0.39865244899269814
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_105	GSM5342814	Coronary artery disease (CAD)_heart_18	0.03280676707035217
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_106	GSM5342818	Coronary artery disease (CAD)_heart_19	0.07403978394880585
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_107	GSM5342819	Coronary artery disease (CAD)_heart_20	0.013213228923700656
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_108	GSM5342820	Coronary artery disease (CAD)_heart_21	0.14930510245029746
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_109	GSM5342821	Coronary artery disease (CAD)_heart_22	0.07505832116213647
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_110	GSM5342822	Coronary artery disease (CAD)_heart_23	0.031326831268602626
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_111	GSM5342824	Coronary artery disease (CAD)_heart_24	0.021768842889067084
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_112	GSM5342825	Coronary artery disease (CAD)_heart_25	0.00633718680274701
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_113	GSM5342826	Coronary artery disease (CAD)_heart_26	7.850894543955829e-17
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_114	GSM5342827	Coronary artery disease (CAD)_heart_27	0.0018047734332933842
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_115	GSM5342829	Coronary artery disease (CAD)_heart_28	0.017162028842184682
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_116	GSE175694	Circulating leukocytes cells_PBMC_1	0.01247880753589402
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_117	GSM5344320	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_1	0.04801413499870569
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_118	GSM5344322	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_2	0.009208299538811256
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_119	GSM5344323	Circulating leukocytes cells_PBMC_2	0.02395121208142967
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_120	GSM5344324	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_3	0.017829263010325985
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_121	GSM5344325	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_4	0.013192045641606856
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_122	GSM5344327	Circulating leukocytes cells_PBMC_3	0.00972785493615334
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_123	GSM5344328	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_5	0.024028826272277405
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_124	GSM5344329	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_6	0.018620813526756146
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_125	GSM5344330	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_7	0.01754948715182363
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_126	GSM5344331	Circulating leukocytes cells_PBMC_4	0.03146838602625562
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_127	GSM5344332	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_8	0.007096623345672584
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_128	GSM5344333	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_9	0.005542899743394225
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_129	GSM5344334	Circulating leukocytes cells, Hypotension/tachycardia_PBMC_10	0.01615341910522561
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_130	GSM5344335	Circulating leukocytes cells_PBMC_5	0.017515402356159882
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_131	GSE183970	PBMC Rheumatoid arthritis_1	0.097268965237659
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_132	GSM5575190	PBMC Rheumatoid arthritis_2	0.16823808240288451
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_133	GSM5575191	PBMC Healthy controls (Rheumatoid arthritis)	0.6481856079859378
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_134	GSM7102971	Mixture of PBMC from 2 donors_PBMC_1	0.8120506709763966
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_135	GSM7102972	Mixture of PBMC from 2 donors_PBMC_2	0.821582728341488
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_136	GSM7102976	Mixture of PBMC from 2 donors_PBMC_3	0.2931218285804014
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_137	GSM7102980	Mixture of PBMC from 2 donors_PBMC_4	0.04589758189697024
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_138	GSM7102981	Mixture of PBMC from 2 donors_PBMC_5	0.07829597665304133
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_139	GSM6176366	Umbilical Cord Blood mononuclear cells_Blood	0.025924018466705265
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_140	GSM6760056	Influenza_PBMC	0.0041098762034058435
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_141	GSM6760057	Healthy donors_PBMC_1	0.1027570862363836
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_142	GSM6760058	Healthy donors_PBMC_2	0.03474294147899658
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_143	GSM6760059	Healthy donors_PBMC_3	0.08227545925818615
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_144	GSM6760060	Mild COVID-19_PBMC_1	0.09460767629231195
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_145	GSM6760061	Severe COVID-19_PBMC_1	0.3495834726115614
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_146	GSM6760062	Mild COVID-19_PBMC_2	0.2450088416744749
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_147	GSM6760063	Severe COVID-19_PBMC_2	0.17477686298089712
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_148	GSE220188	Methicillin-sensitive staphylococcus aureus (MSSA)_1_PBMC	0.05204844714559831
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_149	GSM6793418	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_1	0.20040704551170696
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_150	GSM6793420	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_2	0.10587723388192968
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_151	GSM6793422	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_3	0.8201557649348937
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_152	GSM6793423	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_4	0.12032642633044775
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_153	GSM6793427	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_5	0.016703136319820115
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_154	GSM6793428	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_6	0.05447086623091772
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_155	GSM6793429	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_7	0.10187502647371241
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_156	GSM6793432	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_8	0.0617742433091973
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_157	GSM6793433	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_9	0.30724059642531054
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_158	GSM6793434	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_10	0.10447139101475447
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_159	GSM6793435	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_11	0.2679741484433229
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_160	GSM6793436	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_12	0.10422575722983737
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_161	GSM6793437	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_13	0.06863385296275212
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_162	GSM6793438	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_14	0.10125790028505374
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_163	GSM6793439	Control (Methicillin-sensitive staphylococcus aureus (MSSA))_PBMC_15	0.11029114988295619
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_164	GSM6793440	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_2	0.02299299269882487
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_165	GSM6793441	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_3	0.017200457195181568
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_166	GSM6793442	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_4	0.08495569164833455
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_167	GSM6793443	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_5	0.06850447125110536
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_168	GSM6793444	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_6	0.06654292171667314
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_169	GSM6793445	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_7	0.0630502270122292
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_170	GSM6793446	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_8	0.016286284595397677
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_171	GSM6793447	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_9	0.11196176341881897
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_172	GSM6793448	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_10	0.026492209502851846
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_173	GSM6793449	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_11	0.07078563514163738
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_174	GSM6793450	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_12	0.04459046430555881
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_175	GSM6793451	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_13	0.08375894804809933
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_176	GSM6793452	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_14	0.04119833923287197
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_177	GSM6793454	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_15	0.19126860176629357
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_178	GSM6793455	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_16	0.07888088831787941
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_179	GSM6793456	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_17	0.04884156546579923
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_180	GSM6793457	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_18	0.07490001749431083
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_181	GSM6793458	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_19	0.10240553533474506
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_182	GSM6793459	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_20	0.016984588054522028
trait_id_1	BBJ_AD_1	Atopic dermatitis_1	sample_id_183	GSM6793460	Methicillin-sensitive staphylococcus aureus (MSSA)_PBMC_21	0.06666189829647098
